timestamp,perclos,avg_eye_speed,avg_fixation,max_fixation,fixation_fatigue_flag
2025-11-02 12:42:34,10.13,26.86,0.1,1.09,0
2025-11-02 12:42:34,10.09,26.66,0.1,1.09,0
2025-11-02 12:42:34,10.04,26.66,0.1,1.09,0
2025-11-02 12:42:34,10.0,26.66,0.1,1.09,0
2025-11-02 12:42:34,9.96,26.88,0.1,1.09,0
2025-11-02 12:42:34,9.91,27.68,0.1,1.09,0
2025-11-02 12:42:34,9.87,27.68,0.1,1.09,0
2025-11-02 12:42:34,9.83,27.68,0.1,1.09,0
2025-11-02 12:42:34,9.79,27.68,0.1,1.09,0
2025-11-02 12:42:34,9.75,28.43,0.1,1.09,0
2025-11-02 12:42:34,9.7,28.43,0.1,1.09,0
2025-11-02 12:42:34,9.66,28.43,0.1,1.09,0
2025-11-02 12:42:34,9.62,28.43,0.1,1.09,0
2025-11-02 12:42:34,9.58,28.43,0.1,1.09,0
2025-11-02 12:42:34,9.54,29.17,0.1,1.09,0
2025-11-02 12:42:34,9.5,29.17,0.1,1.09,0
2025-11-02 12:42:35,9.47,29.51,0.1,1.09,0
2025-11-02 12:42:35,9.43,29.32,0.1,1.09,0
2025-11-02 12:42:35,9.39,29.32,0.1,1.09,0
2025-11-02 12:42:35,9.35,29.32,0.1,1.09,0
2025-11-02 12:42:35,9.31,29.32,0.1,1.09,0
2025-11-02 12:42:35,9.27,29.32,0.1,1.09,0
2025-11-02 12:42:35,9.24,29.32,0.1,1.09,0
2025-11-02 12:42:35,9.2,29.47,0.1,1.09,0
2025-11-02 12:42:35,9.16,29.47,0.1,1.09,0
2025-11-02 12:42:35,9.13,29.47,0.1,1.09,0
2025-11-02 12:42:35,9.09,29.47,0.1,1.09,0
2025-11-02 12:42:35,9.06,29.47,0.1,1.09,0
2025-11-02 12:42:35,9.02,29.47,0.1,1.09,0
2025-11-02 12:42:35,8.98,29.47,0.1,1.09,0
2025-11-02 12:42:35,9.34,29.47,0.1,1.09,0
2025-11-02 12:42:35,9.3,29.47,0.1,1.09,0
2025-11-02 12:42:35,9.27,29.82,0.1,1.09,0
2025-11-02 12:42:35,9.23,29.82,0.1,1.09,0
2025-11-02 12:42:35,9.2,29.82,0.1,1.09,0
2025-11-02 12:42:35,9.16,29.82,0.1,1.09,0
2025-11-02 12:42:35,9.13,29.82,0.1,1.09,0
2025-11-02 12:42:35,9.09,29.69,0.1,1.09,0
2025-11-02 12:42:35,9.06,29.52,0.1,1.09,0
2025-11-02 12:42:35,9.02,29.34,0.1,1.09,0
